Purchase ID,Datum,Leverantör,Produkt,Kategori,Enhet,Antal,Antal kvar,Pris Ex.m,Locked,Verifikat,Date created,Date modified,Date counted
54,2022-09-30,Fargbroderna I Malung Aktiebolag,Plywood Björk 4mm,Plywood,M 2,3.13,0,344.8,1,A329,2024-01-01T21:32:12.000Z,2024-01-06T15:44:15.000Z,2024-01-06T15:44:15.000Z
55,2022-10-21,Happy Homes,LADY SUPREME FINISH 40 1066,Farg,Liter,2.7,0,1027.2,1,A330,2024-01-01T21:36:05.000Z,2024-01-06T15:44:15.000Z,2024-01-06T15:44:15.000Z
56,2022-10-21,Happy Homes,LADY SUPREME FINISH 40 Vit Bas,Farg,Liter,2.7,0,1027.2,1,A330,2024-01-01T21:36:43.000Z,2024-01-03T08:18:58.000Z,
57,2022-10-21,Happy Homes,Kvistlack Beckers,Farg,Liter,0.5,0,195.12,1,A330,2024-01-01T21:37:29.000Z,2024-01-06T15:44:15.000Z,2024-01-06T15:44:15.000Z
58,2022-11-04,Happy Homes,Snickerislip Scotte Bas C S 3560-R,Farg,Liter,0.9,0,221.44,1,A331,2024-01-01T21:39:35.000Z,2024-01-03T08:18:58.000Z,
59,2022-11-04,Happy Homes,Snickerislip Scotte Bas C JOT 255,Farg,Liter,0.9,0,221.44,1,A331,2024-01-01T21:40:05.000Z,2024-01-03T08:18:58.000Z,
60,2022-11-04,Happy Homes,LADY SUPREME FINISH 40 C 5436-R87B,Farg,Liter,0.68,0,338.56,1,A331,2024-01-01T21:41:58.000Z,2024-01-03T08:18:58.000Z,
61,2022-10-07,Empiro Aktiebolag,"Mässing  300x0,40",Massing,M,10,0,7264.8,1,A333,2024-01-01T21:45:42.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
62,2022-10-28,Happy Homes,Snickerislip Scotte Vit S0500-N,Farg,Liter,3,0,304,1,A334,2024-01-01T21:48:39.000Z,2024-01-06T15:44:15.000Z,2024-01-06T15:44:15.000Z
63,2022-11-11,Happy Homes,Snickerislip Scotte S9000-N,Farg,Liter,0.9,0,221.44,1,A372,2024-01-01T21:50:00.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
64,2022-11-11,Happy Homes,LADY SUPREME FINISH 40 S3560-R,Farg,Liter,2.7,0,1027.2,1,A372,2024-01-01T21:52:05.000Z,2024-01-06T15:44:15.000Z,2024-01-06T15:44:15.000Z
65,2022-11-18,Happy Homes,LADY SUPREME FINISH 40 0255 SIGNALBLÅ,Farg,Liter,0.68,0,338.56,1,A374,2024-01-01T21:56:20.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
66,2022-11-18,Happy Homes,LADY SUPREME FINISH 40 S1010-Y30R,Farg,Liter,0.68,0.3,339.36,1,A374,2024-01-01T21:57:04.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
67,2022-11-18,Happy Homes,LADY SUPREME FINISH 40 S6020-Y40R,Farg,Liter,0.68,0,340.16,1,A374,2024-01-01T21:57:41.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
68,2022-11-18,Happy Homes,Snickerislip Scotte Bas C JOT 255,Farg,Liter,0.9,0.45,221.4,1,A374,2024-01-01T21:58:33.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
69,2022-11-09,Stalama Aktiebolag,Wilhelmsson CE stickers,Stickers,St,200,0,480,1,A375,2024-01-01T22:01:42.000Z,2024-01-06T15:44:15.000Z,2024-01-06T15:44:15.000Z
70,2022-11-09,Stalama Aktiebolag,Wilhelmsson Serienummer stickers,Stickers,St,200,0,480,1,A375,2024-01-01T22:02:09.000Z,2024-01-06T15:44:15.000Z,2024-01-06T15:44:15.000Z
71,2022-11-02,Lasses EL AB,VP-Rör 16mm,Stickers,M,42,0,392.2,1,A376,2024-01-01T22:03:33.000Z,2024-01-03T08:18:58.000Z,
72,2022-11-02,Lasses EL AB,VP-Rör 20mm,Stickers,M,18,0,192.8,1,A376,2024-01-01T22:04:20.000Z,2024-01-03T08:18:58.000Z,
73,2022-11-01,Star Trading I Svenljunga Aktiebolag,"Reservlampa 7-pack ",El,Pkt,200,0,3324.8,1,A389,2024-01-01T22:07:28.000Z,2024-01-06T15:44:15.000Z,2024-01-06T15:44:15.000Z
74,2022-10-31,BOLIST Handelsgruppen Malung,TRÄLIM D2 INNE,Lim,Dunk,1,0,303.2,1,A390,2024-01-01T22:09:38.000Z,2024-01-06T15:44:15.000Z,2024-01-06T15:44:15.000Z
75,2022-12-09,Happy Homes,LADY SUPREME FINISH 40 C-SVART,Farg,Liter,0.68,0.1,338.56,1,A460,2024-01-01T22:11:58.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
76,2022-12-09,Happy Homes,Snickerislip Scotte Bas C S 3560-R,Farg,Liter,0.9,0,221.44,1,A460,2024-01-01T22:12:44.000Z,2024-01-06T15:44:15.000Z,2024-01-06T15:44:15.000Z
77,2022-12-01,Happy Homes,LADY SUPREME FINISH 40 +WX 30,Farg,Liter,2.7,0,1027.2,1,A462,2024-01-01T22:14:00.000Z,2024-01-06T15:44:15.000Z,2024-01-06T15:44:15.000Z
78,2022-12-01,Happy Homes,"SPRAYFÄRG, T&S LACK MA",Farg,St,1,0,116,1,A462,2024-01-01T22:14:57.000Z,2024-01-06T15:44:15.000Z,2024-01-06T15:44:15.000Z
79,2022-11-10,Malungs Bokhandel AB,Färg DEKA Color (Liten plastburk),Farg,St,1,0,47.2,1,A473,2024-01-01T22:20:31.000Z,2024-01-06T15:44:15.000Z,2024-01-06T15:44:15.000Z
80,2022-11-30,BOLIST Handelsgruppen Malung,"SNABBLIM UNIVERSAL PRECISION ",Lim,St,3,0,158.16,1,A504,2024-01-01T22:22:31.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
81,2022-11-30,BOLIST Handelsgruppen Malung,TRÄSKRUV TKT EFZ 4X20MM,Skruv,Pkt,1,0,95.2,1,A504,2024-01-01T22:24:35.000Z,2024-01-06T15:44:15.000Z,2024-01-06T15:44:15.000Z
82,2022-11-30,BOLIST Handelsgruppen Malung," TRÄSKRUV TKT EFZ 3X12MM",Skruv,Pkt,1,0,79.12,1,A504,2024-01-01T22:25:09.000Z,2024-01-06T15:44:15.000Z,2024-01-06T15:44:15.000Z
83,2022-11-30,BOLIST Handelsgruppen Malung,TRÄSKRUV TFT EFZ 3X16,Skruv,Pkt 250,1,0,79.12,1,A504,2024-01-01T22:25:55.000Z,2024-01-06T15:44:15.000Z,2024-01-06T15:44:15.000Z
84,2022-12-14,Lasses EL AB,VP-Rör 16mm,VP Ror,M,18,0,126.36,1,A590,2024-01-01T22:28:08.000Z,2024-01-06T15:44:15.000Z,2024-01-06T15:44:15.000Z
85,2022-12-14,Lasses EL AB,VP-Rör 20mm,VP Ror,M,12,0,128.52,1,A590,2024-01-01T22:28:36.000Z,2024-01-06T15:44:15.000Z,2024-01-06T15:44:15.000Z
86,2021-12-31,CEOS AB,UPM Grada 2000 7mm,Plywood,M 2,3.13,2,414,1,A101,2024-01-03T08:31:45.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
87,2021-12-31,Okand,"MDF BOARD 6mmx1,22x2,44",MDF,M 2,2,0,318,1,A---,2024-01-03T08:39:37.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
88,2021-12-31,Okand,"MDF BOARD 12mmx1,22x2,44",MDF,M 2,1.5,0.4,207,1,A---,2024-01-03T08:41:49.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
89,2021-12-31,Okand,Plywood Furu 12mm,Plywood,M 2,2.88,0,414,1,A---,2024-01-03T08:42:31.000Z,2024-01-04T09:31:51.000Z,
90,2021-12-31,Okand,Rundstav Ask,Massivtra,St,4,4,608,1,A---,2024-01-03T08:44:27.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
91,2021-12-31,Okand,Okänd Plastprimer,Farg,St,1,0,121.6,1,A---,2024-01-03T08:46:30.000Z,2024-01-06T15:44:15.000Z,2024-01-06T15:44:15.000Z
92,2021-12-31,Okand,Kopplingskabel (0.5mm2),El,M,2000,300,1817.6,1,A---,2024-01-03T08:49:10.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
93,2021-12-31,Okand,Mässinghylsa Ljus 22m,Ljus,St,148,106,387.6,1,A---,2024-01-03T08:51:49.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
94,2021-12-31,Okand,Mässinghylsa Ljus 13mm,Ljus,St,50,50,76,1,A---,2024-01-03T08:52:14.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
